Country Name,Latitude (average),Longitude (average),Series Name,Series Code,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Ethiopia,8.0,38.0,Battle-related deaths (number of people),VC.BTL.DETH,ETH,49698,12227,165,36,75,29,52,..,1040,30704,25050,40,50,50,50,83,50,177,50,515,151,51,50,77,25,49,50,..
Faroe Islands,62.0,-7.0,Battle-related deaths (number of people),VC.BTL.DETH,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,-18.0,175.0,Battle-related deaths (number of people),VC.BTL.DETH,FJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Finland,64.0,26.0,Battle-related deaths (number of people),VC.BTL.DETH,FIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,46.0,2.0,Battle-related deaths (number of people),VC.BTL.DETH,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,..,..
French Polynesia,-15.0,-140.0,Battle-related deaths (number of people),VC.BTL.DETH,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,-1.0,11.75,Battle-related deaths (number of people),VC.BTL.DETH,GAB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Georgia,42.0,43.5,Battle-related deaths (number of people),VC.BTL.DETH,GEO,..,52,771,1763,..,..,..,..,..,..,..,..,0,..,27,..,..,..,621,..,..,..,..,..,..,..,..,..
Germany,51.0,9.0,Battle-related deaths (number of people),VC.BTL.DETH,DEU,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ghana,8.0,-2.0,Battle-related deaths (number of people),VC.BTL.DETH,GHA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gibraltar,36.1833,-5.3667,Battle-related deaths (number of people),VC.BTL.DETH,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,39.0,22.0,Battle-related deaths (number of people),VC.BTL.DETH,GRC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greenland,72.0,-40.0,Battle-related deaths (number of people),VC.BTL.DETH,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,12.1167,-61.6667,Battle-related deaths (number of people),VC.BTL.DETH,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
